timestamp,open,high,low,close,volume
1562112000000,10844.13,12009.59,10841.91,11981.61,1313585829.8900003
1562198400000,11981.61,12055.11,11067.68,11156.52,831236841.56
1562284800000,11156.52,11435.38,10787.94,10993.25,734424868.0800002
1562371200000,10993.25,11709.27,10985.4,11248.94,549769169.1600001
1562457600000,11248.94,11605.43,11109.42,11474.28,418161890.29
1562544000000,11474.28,12386.28,11339.02,12296.16,762033323.2900001
1562630400000,12296.16,12808.06,12117.31,12567.02,993891866.3400002
1562716800000,12567.02,13183.73,11569.94,12099.12,1554955347.9
1562803200000,12099.12,12099.91,11002.39,11343.12,1185222449.6699998
1562889600000,11343.12,11931.91,11096.61,11797.37,647690095.1600001
1562976000000,11797.37,11835.87,10827.53,11363.97,668325183.2800001
1563062400000,11363.97,11447.92,10118.85,10204.41,814667763.3199999
1563148800000,10204.41,11070.18,9877.02,10850.26,965178341.6099999
1563235200000,10850.26,11025.76,9366.82,9423.44,1140137759.73
1563321600000,9423.44,9982.24,9086.51,9696.15,965256823.82
1563408000000,9696.15,10776.54,9292.61,10638.35,1033842556.6200001
1563494400000,10638.35,10757.41,10135.16,10532.94,658190962.51
1563580800000,10532.94,11094.32,10379.19,10759.42,608954333.21
1563667200000,10759.42,10833.99,10329.89,10586.71,405339891.13000005
1563753600000,10586.71,10676.6,10072.07,10325.87,524442852.25
1563840000000,10325.87,10328.44,9820.61,9854.15,529438124.07000005
1563926400000,9854.15,9920.54,9535.78,9772.14,531611909.4100001
1564012800000,9772.14,10184.43,9744.7,9882.43,403576364.35
1564099200000,9882.43,9890.05,9668.52,9847.45,312717110.0299999
1564185600000,9847.45,10202.95,9310.47,9478.32,512612117.05
1564272000000,9478.32,9591.52,9135.64,9531.77,267243770.15
1564358400000,9531.77,9717.69,9386.9,9506.93,299936368.38000005
1564444800000,9506.93,9749.53,9391.78,9595.52,276402322.58
1564531200000,9595.52,10123.94,9581.6,10089.25,416343142.54
